title,artist,cover,year,id,hasSleeve
Kind of Blue,Miles Davis,https://images-na.ssl-images-amazon.com/images/I/71K%2BWbEXPxL._SY355_.jpg,Jazz,KIND001,true
A Love Supreme,John Coltrane,https://images-na.ssl-images-amazon.com/images/I/71BpJQkYS%2BL._SY355_.jpg,Spiritual Jazz,LOVE001,true
Giant Steps,John Coltrane,https://images-na.ssl-images-amazon.com/images/I/71R%2BD0hH9L._SY355_.jpg,Hard Bop,GIANT001,true
Bitches Brew,Miles Davis,https://images-na.ssl-images-amazon.com/images/I/71wJ%2BWJ8YfL._SY355_.jpg,Fusion,BITCH001,true
Mingus Ah Um,Charles Mingus,https://images-na.ssl-images-amazon.com/images/I/61KJ8YNJwL._SY355_.jpg,Jazz,MINGUS001,true
The Black Saint and the Sinner Lady,Charles Mingus,https://images-na.ssl-images-amazon.com/images/I/61zF%2BKqe9L._SY355_.jpg,Avant-garde Jazz,BLACK001,true
Time Out,Dave Brubeck,https://images-na.ssl-images-amazon.com/images/I/71oGJqvFML._SY355_.jpg,Cool Jazz,TIME001,true
Waltz for Debby,Bill Evans,https://images-na.ssl-images-amazon.com/images/I/61H8J%2BwL7L._SY355_.jpg,Jazz Piano,WALTZ001,true
Portrait in Jazz,Bill Evans,https://images-na.ssl-images-amazon.com/images/I/71Q8J%2BWL8L._SY355_.jpg,Jazz Piano,PORT001,true
Explorations,Bill Evans,https://images-na.ssl-images-amazon.com/images/I/61M8J%2BwL9L._SY355_.jpg,Jazz Piano,EXPLORE001,true
Sunday at the Village Vanguard,Bill Evans,https://images-na.ssl-images-amazon.com/images/I/71S8J%2BwL0L._SY355_.jpg,Live Jazz,SUNDAY001,true
Getz/Gilberto,Stan Getz & João Gilberto,https://images-na.ssl-images-amazon.com/images/I/71G8J%2BwL1L._SY355_.jpg,Bossa Nova,GETZ001,true
Saxophone Colossus,Sonny Rollins,https://images-na.ssl-images-amazon.com/images/I/71R8J%2BwL2L._SY355_.jpg,Hard Bop,SAX001,true
Way Out West,Sonny Rollins,https://images-na.ssl-images-amazon.com/images/I/71W8J%2BwL3L._SY355_.jpg,Jazz,WAY001,true
The Bridge,Sonny Rollins,https://images-na.ssl-images-amazon.com/images/I/71B8J%2BwL4L._SY355_.jpg,Jazz,BRIDGE001,true
Brilliant Corners,Thelonious Monk,https://images-na.ssl-images-amazon.com/images/I/71C8J%2BwL5L._SY355_.jpg,Bebop,BRILLIANT001,true
Monk's Dream,Thelonious Monk,https://images-na.ssl-images-amazon.com/images/I/71D8J%2BwL6L._SY355_.jpg,Jazz,DREAM001,true
Straight No Chaser,Thelonious Monk,https://images-na.ssl-images-amazon.com/images/I/71S8J%2BwL7L._SY355_.jpg,Jazz,STRAIGHT001,true
Underground,Thelonious Monk,https://images-na.ssl-images-amazon.com/images/I/71U8J%2BwL8L._SY355_.jpg,Jazz,UNDER001,true
Moanin',Art Blakey & The Jazz Messengers,https://images-na.ssl-images-amazon.com/images/I/71M8J%2BwL9L._SY355_.jpg,Hard Bop,MOANIN001,true
The Jazz Messengers,Art Blakey,https://images-na.ssl-images-amazon.com/images/I/71J8J%2BwL0L._SY355_.jpg,Hard Bop,MESS001,true
Free For All,Art Blakey,https://images-na.ssl-images-amazon.com/images/I/71F8J%2BwL1L._SY355_.jpg,Hard Bop,FREE001,true
Indestructible,Art Blakey,https://images-na.ssl-images-amazon.com/images/I/71I8J%2BwL2L._SY355_.jpg,Hard Bop,INDES001,true
Song for My Father,Horace Silver,https://images-na.ssl-images-amazon.com/images/I/71S8J%2BwL3L._SY355_.jpg,Soul Jazz,SONG001,true
